,well,sweep,protocol,Rseal,Cm,Rseries,drug
0,A03,0,staircaseramp,3251069000.0,1.58413e-11,9491014.0,before
1,A03,1,staircaseramp,2147978000.0,1.562104e-11,10209700.0,before
2,B01,0,staircaseramp,5792134000.0,2.141635e-11,9156678.0,before
3,B01,1,staircaseramp,314947300000.0,2.127527e-11,9523752.0,before
4,B03,0,staircaseramp,4564453000.0,1.444363e-11,16859410.0,before
5,B03,1,staircaseramp,7178286000.0,1.440328e-11,17026380.0,before
6,B14,0,staircaseramp,397472500.0,1.317114e-11,13363160.0,before
7,B14,1,staircaseramp,435010000.0,1.289735e-11,13640630.0,before
8,D04,0,staircaseramp,318530800.0,1.544806e-11,12342810.0,before
9,D04,1,staircaseramp,322444100.0,1.520287e-11,12164160.0,before
10,D20,0,staircaseramp,274045900.0,1.60151e-11,15792530.0,before
11,D20,1,staircaseramp,275544400.0,1.58859e-11,15711920.0,before
12,D22,0,staircaseramp,1614080000.0,1.537003e-11,14930280.0,before
13,D22,1,staircaseramp,3518964000.0,1.500797e-11,15656460.0,before
14,E08,0,staircaseramp,963878400.0,1.80515e-11,8314192.0,before
15,E08,1,staircaseramp,1041148000.0,1.788503e-11,8543815.0,before
16,E12,0,staircaseramp,428718400.0,2.103444e-11,15924340.0,before
17,E12,1,staircaseramp,415634800.0,2.103473e-11,15963690.0,before
18,F11,0,staircaseramp,241177200.0,1.295988e-11,12767080.0,before
19,F11,1,staircaseramp,233879000.0,1.285942e-11,12391250.0,before
20,G03,0,staircaseramp,169714300.0,2.691166e-11,17773400.0,before
21,G03,1,staircaseramp,166572700.0,2.684077e-11,18291790.0,before
22,I22,0,staircaseramp,6330598000.0,4.627115e-11,10280310.0,before
23,I22,1,staircaseramp,5611533000.0,4.617039e-11,10291880.0,before
24,J04,0,staircaseramp,3129911000.0,1.772512e-11,9893627.0,before
25,J04,1,staircaseramp,4063836000.0,1.777413e-11,9943500.0,before
26,J22,0,staircaseramp,685599500.0,4.579044e-11,16927300.0,before
27,J22,1,staircaseramp,803180800.0,4.491185e-11,17027580.0,before
28,K04,0,staircaseramp,784670900.0,1.167841e-11,10576770.0,before
29,K04,1,staircaseramp,800120100.0,1.168071e-11,10750390.0,before
30,K15,0,staircaseramp,2066922000.0,1.753523e-11,17438570.0,before
31,K15,1,staircaseramp,2227744000.0,1.782271e-11,17100680.0,before
32,K21,0,staircaseramp,234379400.0,2.026092e-11,17282060.0,before
33,K21,1,staircaseramp,239253500.0,1.995085e-11,16911910.0,before
34,L14,0,staircaseramp,885927600.0,1.315217e-11,12315860.0,before
35,L14,1,staircaseramp,842386600.0,1.311164e-11,12457360.0,before
36,L19,0,staircaseramp,4683231000.0,1.027849e-11,8696348.0,before
37,L19,1,staircaseramp,5205740000.0,1.022436e-11,8626349.0,before
38,M22,0,staircaseramp,329055500.0,1.682787e-11,11126720.0,before
39,M22,1,staircaseramp,333763200.0,1.678131e-11,11277810.0,before
40,M23,0,staircaseramp,1202663000.0,3.288212e-11,11828720.0,before
41,M23,1,staircaseramp,3620084000.0,3.28206e-11,12325420.0,before
42,N05,0,staircaseramp,3858466000.0,2.062394e-11,11208310.0,before
43,N05,1,staircaseramp,5525391000.0,2.049877e-11,11192810.0,before
44,N22,0,staircaseramp,190300500.0,1.650494e-11,18889720.0,before
45,N22,1,staircaseramp,186428300.0,1.605979e-11,18629500.0,before
46,P02,0,staircaseramp,1277029000.0,9.633841e-12,6343004.0,before
47,P02,1,staircaseramp,1548604000.0,9.629062e-12,6518040.0,before
48,P04,0,staircaseramp,13260940000.0,1.564638e-11,8616617.0,before
49,P04,1,staircaseramp,11664710000.0,1.592752e-11,9126875.0,before
50,P23,0,staircaseramp,1290767000.0,2.169346e-11,8812139.0,before
51,P23,1,staircaseramp,1107020000.0,2.158701e-11,9932156.0,before
52,A03,0,staircaseramp_2,1926283000.0,1.544289e-11,14282480.0,before
53,A03,1,staircaseramp_2,2370252000.0,1.549668e-11,14658470.0,before
54,B01,0,staircaseramp_2,14397590000.0,2.1378e-11,11304990.0,before
55,B01,1,staircaseramp_2,14397590000.0,2.120728e-11,11842150.0,before
56,B03,0,staircaseramp_2,5687536000.0,1.415184e-11,14345420.0,before
57,B03,1,staircaseramp_2,5049255000.0,1.409942e-11,14353470.0,before
58,B14,0,staircaseramp_2,664270500.0,1.271628e-11,15080050.0,before
59,B14,1,staircaseramp_2,683182800.0,1.263991e-11,15708320.0,before
60,D04,0,staircaseramp_2,356577700.0,1.536431e-11,16851550.0,before
61,D04,1,staircaseramp_2,366590800.0,1.531953e-11,16683890.0,before
62,D20,0,staircaseramp_2,387329500.0,1.463184e-11,14977970.0,before
63,D20,1,staircaseramp_2,400250700.0,1.454979e-11,15618340.0,before
64,D22,0,staircaseramp_2,4083595000.0,1.482837e-11,16083330.0,before
65,D22,1,staircaseramp_2,4359132000.0,1.499963e-11,15998360.0,before
66,E08,0,staircaseramp_2,1025887000.0,1.747961e-11,9511277.0,before
67,E08,1,staircaseramp_2,992350600.0,1.756149e-11,9591612.0,before
68,E12,0,staircaseramp_2,457689100.0,2.033464e-11,19802150.0,before
69,E12,1,staircaseramp_2,473783000.0,2.046767e-11,20214760.0,before
70,F11,0,staircaseramp_2,235101100.0,1.167452e-11,10905270.0,before
71,F11,1,staircaseramp_2,242968000.0,1.159394e-11,11248740.0,before
72,G03,0,staircaseramp_2,160105400.0,2.717598e-11,18945800.0,before
73,G03,1,staircaseramp_2,168782000.0,2.692698e-11,18695750.0,before
74,I22,0,staircaseramp_2,3013850000.0,4.515711e-11,12074050.0,before
75,I22,1,staircaseramp_2,3189339000.0,4.508497e-11,12190800.0,before
76,J04,0,staircaseramp_2,2374720000.0,1.765301e-11,11077710.0,before
77,J04,1,staircaseramp_2,6477065000.0,1.769778e-11,11107250.0,before
78,J22,0,staircaseramp_2,2674712000.0,4.278386e-11,15518650.0,before
79,J22,1,staircaseramp_2,4037786000.0,4.28759e-11,14855300.0,before
80,K04,0,staircaseramp_2,1567877000.0,1.112229e-11,13109620.0,before
81,K04,1,staircaseramp_2,1815258000.0,1.106981e-11,13099710.0,before
82,K15,0,staircaseramp_2,2534787000.0,1.721793e-11,14106200.0,before
83,K15,1,staircaseramp_2,2995931000.0,1.731257e-11,13940710.0,before
84,K21,0,staircaseramp_2,252184800.0,2.170667e-11,18585090.0,before
85,K21,1,staircaseramp_2,258736700.0,2.157138e-11,19052750.0,before
86,L14,0,staircaseramp_2,797334800.0,1.273937e-11,13381960.0,before
87,L14,1,staircaseramp_2,831269600.0,1.27914e-11,13066220.0,before
88,L19,0,staircaseramp_2,4930681000.0,9.816984e-12,9287212.0,before
89,L19,1,staircaseramp_2,5636640000.0,9.773322e-12,9239313.0,before
90,M22,0,staircaseramp_2,384023500.0,1.632186e-11,11847090.0,before
91,M22,1,staircaseramp_2,406383600.0,1.628215e-11,12294460.0,before
92,M23,0,staircaseramp_2,2350353000.0,3.326512e-11,13766610.0,before
93,M23,1,staircaseramp_2,2397315000.0,3.34346e-11,12741770.0,before
94,N05,0,staircaseramp_2,8233916000.0,2.043561e-11,10981230.0,before
95,N05,1,staircaseramp_2,8288086000.0,2.049937e-11,10945760.0,before
96,N22,0,staircaseramp_2,225869900.0,1.48564e-11,16432550.0,before
97,N22,1,staircaseramp_2,234881900.0,1.491221e-11,16331760.0,before
98,P02,0,staircaseramp_2,1279623000.0,9.264713e-12,6377656.0,before
99,P02,1,staircaseramp_2,1317771000.0,9.286801e-12,6375615.0,before
100,P04,0,staircaseramp_2,13473680000.0,1.493153e-11,13605850.0,before
101,P04,1,staircaseramp_2,17257390000.0,1.477942e-11,14917340.0,before
102,P23,0,staircaseramp_2,923260600.0,2.111125e-11,7577122.0,before
103,P23,1,staircaseramp_2,1045034000.0,2.102284e-11,7645672.0,before
